==1598336== NVPROF is profiling process 1598336, command: /u/r/n/rnjain/sc22_artifact/sec5c_pagerank/gpu-app-collection/src/..//bin/11.2/release/pagerank_spmv data_dirs/pannotia/pagerank_spmv/data/rajat30.mtx 2
==1598336== Profiling application: /u/r/n/rnjain/sc22_artifact/sec5c_pagerank/gpu-app-collection/src/..//bin/11.2/release/pagerank_spmv data_dirs/pannotia/pagerank_spmv/data/rajat30.mtx 2
==1598336== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","System","Name","Correlation_ID"
0.814832,71.403203,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",129
0.824278,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.827408,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47048/250000","[Power/Limit (mW)]",
0.877883,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
0.877894,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.880403,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46269/250000","[Power/Limit (mW)]",
0.880626,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
0.886237,0.019872,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",130
0.886258,71.433988,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",131
0.930804,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.933149,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46381/250000","[Power/Limit (mW)]",
0.957694,0.019712,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",132
0.957715,71.405091,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",133
0.983872,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
0.983883,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
0.988798,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46470/250000","[Power/Limit (mW)]",
0.988963,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.029122,0.019840,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",134
1.029144,71.414660,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",135
1.039135,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.041490,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47156/250000","[Power/Limit (mW)]",
1.091991,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.092002,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.094360,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46188/250000","[Power/Limit (mW)]",
1.094520,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.100560,0.019776,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",136
1.100582,71.405092,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",137
1.144695,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.151200,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46470/250000","[Power/Limit (mW)]",
1.171988,0.019840,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",138
1.172010,71.435971,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",139
1.176611,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.176621,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.178961,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"48011/250000","[Power/Limit (mW)]",
1.179127,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.229304,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.232274,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46470/250000","[Power/Limit (mW)]",
1.243448,0.019712,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",140
1.243469,71.416740,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",141
1.282750,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.282761,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.285641,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46381/250000","[Power/Limit (mW)]",
1.285861,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.314887,0.019712,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",142
1.314909,71.414659,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",143
1.336038,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.338397,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46847/250000","[Power/Limit (mW)]",
1.386325,0.019840,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",144
1.386347,71.566883,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",145
1.389070,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.389081,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.394216,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47823/250000","[Power/Limit (mW)]",
1.394341,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.444516,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.446918,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46269/250000","[Power/Limit (mW)]",
1.457915,0.019776,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",146
1.457937,71.421091,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",147
1.497412,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.497423,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.499848,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46470/250000","[Power/Limit (mW)]",
1.499978,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.525075,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.527446,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46181/250000","[Power/Limit (mW)]",
1.529359,0.019776,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",148
1.529381,71.402980,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",149
1.577925,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.577936,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.580264,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46373/250000","[Power/Limit (mW)]",
1.580431,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.600785,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",150
1.600807,71.432131,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",151
1.630608,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.637384,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46373/250000","[Power/Limit (mW)]",
1.672241,0.019776,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",152
1.672262,71.431779,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",153
1.687863,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.687874,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.690528,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46759/250000","[Power/Limit (mW)]",
1.690781,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.740960,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.743318,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46277/250000","[Power/Limit (mW)]",
1.743696,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",154
1.743717,71.420804,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",155
1.793896,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.793910,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.799464,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46373/250000","[Power/Limit (mW)]",
1.799591,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.815140,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",156
1.815161,71.432035,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",157
1.824687,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.827208,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47337/250000","[Power/Limit (mW)]",
1.877830,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.877841,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.880301,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46373/250000","[Power/Limit (mW)]",
1.880464,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
1.886595,0.019808,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",158
1.886617,71.431907,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",159
1.930641,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.933018,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46373/250000","[Power/Limit (mW)]",
1.958050,0.019680,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",160
1.958072,71.426276,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",161
1.983501,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
1.983512,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
1.985837,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46655/250000","[Power/Limit (mW)]",
1.986004,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.029500,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",162
2.029521,71.682754,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",163
2.036180,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.043182,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47156/250000","[Power/Limit (mW)]",
2.093653,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.093663,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"58","[Temperature (C)]",
2.096179,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46173/250000","[Power/Limit (mW)]",
2.096398,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.101206,0.020063,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",164
2.101228,71.436900,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",165
2.146575,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.148912,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46277/250000","[Power/Limit (mW)]",
2.172666,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",166
2.172688,71.401155,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",167
2.174320,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.174331,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.176675,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"48208/250000","[Power/Limit (mW)]",
2.176839,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.227021,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"58","[Temperature (C)]",
2.229405,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46188/250000","[Power/Limit (mW)]",
2.244091,0.019808,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",168
2.244112,71.412932,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",169
2.279939,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.279949,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.286173,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46462/250000","[Power/Limit (mW)]",
2.286338,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.315527,0.019712,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",170
2.315548,71.428067,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",171
2.336516,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.338939,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46855/250000","[Power/Limit (mW)]",
2.386978,0.019776,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",172
2.387000,71.416676,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",173
2.389421,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.389432,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.392305,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"47722/250000","[Power/Limit (mW)]",
2.392471,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.442655,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.448904,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46277/250000","[Power/Limit (mW)]",
2.458418,0.019775,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",174
2.458439,71.428324,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",175
2.474311,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.474322,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.476682,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46670/250000","[Power/Limit (mW)]",
2.476849,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.527001,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.529870,0.019712,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",176
2.529891,71.412963,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",177
2.531317,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46735/250000","[Power/Limit (mW)]",
2.581804,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.581815,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.584152,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46285/250000","[Power/Limit (mW)]",
2.584391,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"43","[Fan Speed (%)]",
2.601305,0.019968,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",178
2.601327,71.412516,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",179
2.634566,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
2.636950,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"46366/250000","[Power/Limit (mW)]",
2.672742,0.019744,10063,1,1,64,1,1,17,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"pagerank2(float*, float*, int)",180
2.672763,71.383971,10063,1,1,64,1,1,32,0,0,,,,,"NVIDIA TITAN V (0)","1","7",,"spmv_csr_scalar_kernel(int, int*, int*, float*, float*, float*)",181
2.687498,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"1335/850","[SM/Memory Clock (MHz)]",
2.687509,,,,,,,,,,,,,,,"NVIDIA TITAN V (0)",,,"59","[Temperature (C)]",
